,City,Country,Date,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,mouzakion,AU,1612591356,-33.65,115.3333,69.01,57,100,1.01
1,mouzakion,CA,1612591138,65.282,-126.8329,-41.8,66,20,2.3
2,mouzakion,NZ,1612591127,-46.6,168.3333,59.11,80,6,10.33
3,mouzakion,MU,1612591142,-20.5167,57.5167,77.0,94,75,6.91
4,mouzakion,ZA,1612591134,-33.9258,18.4232,71.01,94,20,13.8
5,mouzakion,BR,1612591358,-17.7125,-39.2481,79.3,81,100,11.01
6,mouzakion,RU,1612591359,68.75,161.3,-7.29,80,76,3.51
7,mouzakion,BR,1612591359,-8.7597,-35.1047,76.59,87,21,6.6
8,mouzakion,US,1612591360,34.9803,-101.9188,39.0,57,0,1.99
9,mouzakion,ZA,1612591125,-34.4187,19.2345,68.16,80,3,3.53
10,mouzakion,AO,1612591361,-15.1961,12.1522,69.87,81,53,5.68
11,mouzakion,RU,1612591361,71.9167,114.0833,-35.18,82,74,3.71
12,mouzakion,US,1612591264,37.1041,-113.5841,46.4,36,1,5.75
13,mouzakion,MY,1612591065,5.4112,100.3354,91.4,52,20,4.61
14,mouzakion,TL,1612591362,-8.9266,125.4092,67.59,89,100,5.99
15,mouzakion,PF,1612591130,-23.1203,-134.9692,78.31,70,60,14.07
16,mouzakion,RU,1612591363,69.3,139.9,-26.37,88,100,3.29
17,mouzakion,MX,1612591363,16.5,-95.05,74.62,85,48,7.74
18,mouzakion,SO,1612591364,9.4942,50.8122,76.19,67,20,7.49
19,mouzakion,GL,1612591365,69.2167,-51.1,12.2,28,100,6.91
20,mouzakion,CN,1612591366,24.4042,103.4428,66.81,53,92,8.63
21,mouzakion,NI,1612591366,11.9703,-85.1711,70.99,90,98,5.57
22,mouzakion,PE,1612591201,-5.0892,-81.1144,74.79,72,90,9.8
23,mouzakion,ML,1612591367,18.4411,1.4078,66.42,23,100,13.44
24,mouzakion,CN,1612591368,38.4953,102.1739,42.55,41,0,3.2
25,mouzakion,BR,1612591369,-15.8631,-38.8828,78.8,83,75,10.36
26,mouzakion,GL,1612591370,60.1432,-45.2371,19.92,71,0,3.87
27,mouzakion,SJ,1612591370,78.2186,15.6401,21.2,79,40,13.8
28,mouzakion,PF,1612591131,-9.8,-139.0333,79.88,80,16,21.18
29,mouzakion,CA,1612591371,54.7169,-113.2854,-23.8,83,96,0.89
30,mouzakion,VN,1612591372,17.4833,106.6,72.88,81,58,8.03
31,mouzakion,PL,1612591373,52.8024,21.8951,19.0,74,80,1.99
32,mouzakion,PG,1612591373,-5.5502,150.1429,83.39,76,71,5.06
33,mouzakion,RU,1612591352,61.67,96.37,-0.27,88,95,2.66
34,mouzakion,GL,1612591133,72.7868,-56.1549,11.53,74,100,5.32
35,mouzakion,KZ,1612591375,48.5722,83.6542,26.08,96,100,2.57
36,mouzakion,US,1612591215,20.8947,-156.47,69.8,64,40,5.75
37,mouzakion,GB,1612591376,51.3813,1.3862,44.01,92,62,7.99
38,mouzakion,US,1612591376,42.2506,-75.833,24.8,50,75,14.97
39,mouzakion,PG,1612591377,-2.6741,141.3028,80.91,73,97,3.04
40,mouzakion,RU,1612591192,59.7035,30.7861,10.99,79,75,11.18
41,mouzakion,BR,1612591379,-13.0367,-46.7717,70.5,92,100,3.31
42,mouzakion,US,1612591346,42.6001,-73.9662,30.99,80,75,9.22
43,mouzakion,RU,1612591382,62.7084,56.1964,0.84,93,100,11.79
44,mouzakion,CA,1612591382,66.1451,-65.7125,21.24,87,100,2.62
45,mouzakion,KG,1612591384,41.1702,75.8106,25.54,76,97,2.62
46,mouzakion,US,1612591386,22.0752,-159.319,64.4,72,1,8.05
47,mouzakion,PH,1612591386,10.9995,122.6711,85.15,69,52,14.07
48,mouzakion,CL,1612591387,-41.8697,-73.8203,63.0,75,2,1.01
49,mouzakion,WS,1612591387,-13.8745,-171.5986,75.2,94,90,20.71
50,mouzakion,AR,1612591095,-54.8,-68.3,41.0,93,75,17.27
51,mouzakion,RU,1612591388,50.6451,40.9245,15.58,89,100,16.04
52,mouzakion,RU,1612591186,61.2767,108.0108,1.18,92,100,5.1
53,mouzakion,BR,1612591144,-5.1989,-35.4608,73.4,88,0,2.3
54,mouzakion,RU,1612591389,50.0969,128.0489,1.4,51,0,2.24
55,mouzakion,CL,1612591389,-53.15,-70.9167,44.6,65,40,8.05
56,mouzakion,NO,1612591389,69.5763,20.2189,28.4,74,75,14.97
57,mouzakion,US,1612591188,32.2207,-98.2023,42.8,70,1,8.05
58,mouzakion,ZA,1612591190,-33.5906,26.891,71.01,91,98,13.82
59,mouzakion,RU,1612591390,66.8014,65.8081,-18.65,84,93,5.06
60,mouzakion,GL,1612591293,60.9167,-46.05,14.0,57,0,3.44
61,mouzakion,FO,1612591174,62.2266,-6.589,33.8,69,20,14.97
62,mouzakion,GW,1612591392,11.5833,-15.4667,72.46,44,86,12.93
63,mouzakion,US,1612591392,57.79,-152.4072,37.4,44,1,16.11
64,mouzakion,PT,1612591393,39.3558,-9.3811,52.0,86,100,13.0
65,mouzakion,ET,1612591393,12.6,37.4667,63.23,30,99,1.9
66,mouzakion,AU,1612591182,-42.8794,147.3294,77.0,38,0,17.27
67,mouzakion,RU,1612591394,62.6683,131.1683,-35.32,80,100,2.35
68,mouzakion,RU,1612591395,62.8,43.25,-6.41,88,100,9.22
69,mouzakion,AU,1612591395,-42.7826,147.0587,72.0,56,62,4.0
70,mouzakion,SY,1612591396,34.4506,40.9171,53.29,73,30,8.46
71,mouzakion,CN,1612591396,39.7432,98.5174,38.12,54,81,4.54
72,mouzakion,NZ,1612591396,-46.1927,168.8643,70.84,55,46,4.07
73,mouzakion,BR,1612591397,-9.4061,-38.2147,74.66,69,54,2.64
74,mouzakion,RU,1612591398,66.0,111.5,-28.68,81,3,3.44
75,mouzakion,TO,1612591149,-21.2,-175.2,80.6,94,75,4.61
76,mouzakion,PM,1612591400,47.0975,-56.3814,34.77,87,88,13.73
77,mouzakion,GA,1612591400,-2.65,10.0,78.69,88,98,6.53
78,mouzakion,RE,1612591400,-21.3585,55.7679,86.0,62,20,5.75
79,mouzakion,GR,1612591401,36.7333,25.2833,55.0,100,20,8.05
80,mouzakion,PT,1612591126,38.5167,-28.7,59.43,83,100,16.4
81,mouzakion,US,1612591402,40.5982,-124.1573,50.0,100,90,6.87
82,mouzakion,NP,1612591386,29.2747,82.1838,41.77,59,58,4.23
83,mouzakion,RU,1612591127,71.9667,102.5,-34.71,79,4,5.01
84,mouzakion,US,1612591404,37.4636,-122.4286,51.8,81,1,4.21
85,mouzakion,BR,1612591405,-8.7522,-67.3978,72.01,98,100,1.45
86,mouzakion,SA,1612591303,25.0213,37.2685,68.32,50,0,8.97
87,mouzakion,CD,1612591156,-2.95,25.95,74.17,91,100,0.98
88,mouzakion,BR,1612591406,-22.4256,-45.4528,68.0,96,69,1.19
89,mouzakion,CA,1612591406,45.6169,-61.3485,34.0,100,90,9.22
90,mouzakion,AR,1612591132,-38.0023,-57.5575,71.01,72,0,11.5
91,mouzakion,AU,1612591407,-25.2406,130.9889,91.4,19,51,8.05
92,mouzakion,CA,1612591407,50.2001,-66.3821,33.8,100,100,6.91
93,mouzakion,BF,1612591407,13.0667,-3.0667,69.57,24,79,4.23
94,mouzakion,CA,1612591147,55.7435,-97.8558,-25.6,68,40,9.22
95,mouzakion,RU,1612591409,71.6872,128.8694,-21.24,87,100,1.45
96,mouzakion,CA,1612591410,55.0667,-117.2859,-20.2,76,92,4.61
97,mouzakion,RU,1612591410,55.1542,72.6925,30.2,100,90,11.18
98,mouzakion,PT,1612591410,40.286,-7.504,46.0,95,88,2.95
99,mouzakion,AR,1612591411,-43.3002,-65.1023,61.03,70,2,14.2
100,mouzakion,MU,1612591411,-20.4081,57.7,77.0,94,75,6.91
101,mouzakion,IS,1612591411,63.4427,-20.2734,40.24,74,87,28.9
102,mouzakion,ZA,1612591412,-34.5322,20.0403,59.0,94,0,1.14
103,mouzakion,EC,1612591412,-0.7393,-90.3518,73.99,97,9,5.01
104,mouzakion,RU,1612591413,70.6333,147.9167,-20.79,84,26,10.58
105,mouzakion,BR,1612591413,-24.7911,-50.0119,54.72,87,3,2.39
106,mouzakion,US,1612591414,46.2652,-96.6059,-4.0,77,1,12.66
107,mouzakion,LY,1612591244,29.1268,15.9477,57.76,37,64,6.85
108,mouzakion,NG,1612591414,9.9022,4.4192,72.43,29,59,1.12
109,mouzakion,BR,1612591415,-1.195,-46.02,78.04,82,47,7.49
110,mouzakion,PT,1612591416,37.7333,-25.6667,57.2,88,40,10.36
