,City,Country,Date,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,hokitika,RU,1612650287,67.4667,78.7,-26.7,86,65,9.66
1,hokitika,ID,1612650288,-5.3166,119.3661,71.6,100,20,2.3
2,hokitika,RU,1612650288,69.3833,178.4167,-12.08,75,32,6.08
3,hokitika,JP,1612650288,33.7333,135.9833,43.39,79,0,7.07
4,hokitika,ID,1612650288,-0.9492,100.3543,71.6,94,20,1.14
5,hokitika,NG,1612650289,5.9667,8.7063,74.84,72,0,2.01
6,hokitika,US,1612650008,42.6001,-73.9662,35.6,40,20,13.8
7,hokitika,AO,1612650289,-9.6608,20.3916,67.08,97,100,2.66
8,hokitika,CN,1612650290,30.9866,103.9393,50.0,1,0,3.83
9,hokitika,AU,1612650236,-42.7826,147.0587,64.0,63,65,1.99
10,hokitika,US,1612650134,33.4151,-111.5496,71.01,14,1,5.75
11,hokitika,ZA,1612650255,-33.9258,18.4232,72.0,83,20,9.22
12,hokitika,RU,1612650291,50.6789,156.125,21.51,93,100,14.61
13,hokitika,UY,1612650236,-33.6971,-53.4616,73.42,68,0,10.4
14,hokitika,CL,1612650252,-53.15,-70.9167,57.2,51,75,24.16
15,hokitika,TO,1612650292,-21.2,-175.2,82.4,89,75,6.91
16,hokitika,RU,1612650292,57.8338,50.0588,-5.62,90,100,10.58
17,hokitika,ZA,1612650293,-34.5322,20.0403,69.8,73,75,6.91
18,hokitika,RU,1612650293,53.0452,158.6483,26.6,59,40,22.37
19,hokitika,CV,1612650293,14.8961,-24.4956,70.38,72,50,17.16
20,hokitika,CA,1612650293,69.4541,-133.0374,-16.6,83,90,24.16
21,hokitika,EC,1612650294,-0.7393,-90.3518,86.0,62,0,16.11
22,hokitika,US,1612650172,64.8378,-147.7164,-6.0,77,90,1.25
23,hokitika,RU,1612650294,42.9019,133.9064,14.34,87,42,9.78
24,hokitika,PF,1612650295,-16.4833,-151.75,82.04,67,2,10.71
25,hokitika,ID,1612650295,4.1363,96.1285,75.81,93,80,5.97
26,hokitika,US,1612650295,40.5982,-124.1573,55.0,87,1,13.8
27,hokitika,US,1612650295,22.0752,-159.319,73.99,49,20,6.91
28,hokitika,MX,1612650192,22.8909,-109.9124,78.8,60,1,11.5
29,hokitika,MV,1612650296,-0.6,73.0833,81.45,76,44,11.63
30,hokitika,ZA,1612650296,-33.918,25.5701,68.0,83,40,9.22
31,hokitika,AR,1612650191,-54.8,-68.3,53.6,71,40,19.57
32,hokitika,AR,1612650034,-34.6177,-68.3301,90.1,20,0,11.43
33,hokitika,VE,1612650297,7.7669,-72.225,86.0,58,40,9.22
34,hokitika,RU,1612650297,54.7167,158.6167,11.07,95,100,5.17
35,hokitika,AU,1612650298,-25.2986,152.8535,82.4,61,5,10.36
36,hokitika,CL,1612650176,-37.6167,-73.65,61.54,84,51,6.15
37,hokitika,US,1612650163,42.097,-79.2353,21.2,45,1,10.36
38,hokitika,PG,1612650299,-5.5502,150.1429,80.02,85,95,1.7
39,hokitika,RU,1612650299,58.7525,42.6825,-5.19,90,100,10.71
40,hokitika,MZ,1612650299,-15.1165,39.2666,75.2,88,75,3.44
41,hokitika,MU,1612650300,-20.3428,57.7575,78.8,78,40,4.61
42,hokitika,CA,1612650300,49.2333,-102.1676,-14.01,70,2,5.01
43,hokitika,PG,1612650300,-2.0226,147.2712,82.92,74,97,2.59
44,hokitika,IN,1612650301,10.5669,72.642,81.16,60,3,8.77
45,hokitika,NZ,1612650301,-35.6167,174.5,70.0,69,98,5.99
46,hokitika,RU,1612650302,55.6305,34.2842,-5.06,91,95,8.63
47,hokitika,US,1612650302,57.0531,-135.33,35.6,69,40,14.97
48,hokitika,KI,1612650302,3.0707,172.7902,81.25,80,100,21.36
49,hokitika,RU,1612650302,54.7183,135.315,-10.8,81,100,14.52
50,hokitika,RU,1612650303,59.7035,30.7861,8.01,85,40,11.18
51,hokitika,AU,1612650303,-42.8794,147.3294,64.0,59,75,12.66
52,hokitika,GL,1612650303,65.6145,-37.6368,35.6,55,75,29.93
53,hokitika,ID,1612650303,-0.8667,134.0833,77.77,85,100,4.5
54,hokitika,RU,1612650178,71.9667,102.5,-36.06,78,0,7.54
55,hokitika,ZA,1612650304,-34.0033,24.7314,66.99,82,2,1.99
56,hokitika,CN,1612650304,41.7597,86.1469,26.2,85,0,3.22
57,hokitika,BW,1612650304,-22.3833,26.7167,66.78,95,99,10.22
58,hokitika,US,1612650305,19.7297,-155.09,80.6,44,1,6.91
59,hokitika,CN,1612650305,38.9342,100.4517,25.56,70,0,1.95
60,hokitika,CN,1612650305,22.2769,113.5678,66.0,88,0,2.3
61,hokitika,AU,1612650183,-35.1167,147.3667,71.01,72,0,1.14
62,hokitika,AU,1612650236,-24.8667,113.6333,78.8,100,40,12.66
63,hokitika,CK,1612650306,-21.2078,-159.775,84.2,74,60,12.66
64,hokitika,ZA,1612650173,-34.4187,19.2345,66.99,90,84,3.65
65,hokitika,RU,1612650307,56.9514,90.6661,23.4,97,98,9.46
66,hokitika,CA,1612650175,47.6666,-52.7314,39.99,100,90,21.85
67,hokitika,TR,1612650307,39.0197,31.15,48.42,50,0,7.72
68,hokitika,TL,1612650308,-8.9266,125.4092,60.48,100,92,2.24
69,hokitika,CN,1612650308,45.8495,123.2973,-1.95,86,0,6.93
70,hokitika,RE,1612650308,-21.3667,55.6167,78.8,83,40,4.61
71,hokitika,RU,1612650308,70.6333,147.9167,-22.2,87,42,4.99
72,hokitika,MY,1612650309,4.6374,103.4368,73.0,100,76,6.85
73,hokitika,NZ,1612650237,-46.6,168.3333,59.63,69,2,1.77
74,hokitika,SE,1612650309,57.6409,18.296,24.8,74,90,4.61
75,hokitika,RU,1612650309,63.1906,64.4162,-17.28,88,100,14.7
76,hokitika,CM,1612650310,12.0769,15.0306,73.4,18,16,9.22
77,hokitika,RU,1612650069,67.6803,53.1512,-27.63,85,94,11.65
78,hokitika,IE,1612650310,52.3492,-7.4131,39.99,87,9,1.99
79,hokitika,AU,1612650310,-33.65,115.3333,57.99,97,100,3.0
80,hokitika,US,1612650311,34.8014,-106.5436,55.0,14,1,8.05
81,hokitika,PF,1612650311,-23.1203,-134.9692,78.19,70,100,9.95
82,hokitika,ZM,1612650311,-14.97,22.6814,71.35,78,92,0.36
